Interpacket Timing,Device
0.033005,ihealth_bpm
0.013751,ihealth_bpm
0.033011,ihealth_bpm
0.030248,ihealth_bpm
0.016502,ihealth_bpm
0.005501,ihealth_bpm
0.022002,ihealth_bpm
0.024754,ihealth_bpm
0.016503,ihealth_bpm
0.022041,ihealth_bpm
0.030215,ihealth_bpm
0.030255,ihealth_bpm
0.027503,ihealth_bpm
0.005502,ihealth_bpm
0.01375,ihealth_bpm
0.005502,ihealth_bpm
0.022004,ihealth_bpm
0.02476,ihealth_bpm
0.033017,ihealth_bpm
0.030234,ihealth_bpm
0.02479,ihealth_bpm
0.005465,ihealth_bpm
0.019252,ihealth_bpm
0.00275,ihealth_bpm
0.022003,ihealth_bpm
0.019253,ihealth_bpm
0.027506,ihealth_bpm
0.03027,ihealth_bpm
0.027486,ihealth_bpm
0.024753,ihealth_bpm
0.005503,ihealth_bpm
0.019251,ihealth_bpm
0.005502,ihealth_bpm
0.016501,ihealth_bpm
0.005501,ihealth_bpm
0.071509,ihealth_bpm
0.002751,ihealth_bpm
0.027503,ihealth_bpm
0.005501,ihealth_bpm
0.049509,ihealth_bpm
0.005501,ihealth_bpm
0.016502,ihealth_bpm
0.005501,ihealth_bpm
0.026823,ihealth_bpm
0.00545,ihealth_bpm
0.027491,ihealth_bpm
0.005493,ihealth_bpm
0.013752,ihealth_bpm
0.0055,ihealth_bpm
0.024755,ihealth_bpm
0.00556,ihealth_bpm
0.019252,ihealth_bpm
0.005499,ihealth_bpm
0.030255,ihealth_bpm
0.005499,ihealth_bpm
0.013754,ihealth_bpm
0.0055,ihealth_bpm
0.02474,ihealth_bpm
0.024754,ihealth_bpm
0.005502,ihealth_bpm
0.021999,ihealth_bpm
0.005504,ihealth_bpm
0.038506,ihealth_bpm
0.005502,ihealth_bpm
0.041257,ihealth_bpm
0.005502,ihealth_bpm
0.019246,ihealth_bpm
0.005501,ihealth_bpm
0.019281,ihealth_bpm
0.005474,ihealth_bpm
0.024754,ihealth_bpm
0.005498,ihealth_bpm
0.022005,ihealth_bpm
0.005501,ihealth_bpm
0.016501,ihealth_bpm
0.005503,ihealth_bpm
0.022079,ihealth_bpm
0.005801,ihealth_bpm
0.013449,ihealth_bpm
0.005509,ihealth_bpm
0.02742,ihealth_bpm
0.027505,ihealth_bpm
0.024735,ihealth_bpm
0.0055,ihealth_bpm
0.027505,ihealth_bpm
0.005503,ihealth_bpm
0.022001,ihealth_bpm
0.005503,ihealth_bpm
0.002748,ihealth_bpm
0.005501,ihealth_bpm
0.019311,ihealth_bpm
0.005461,ihealth_bpm
0.04129,ihealth_bpm
0.005467,ihealth_bpm
0.022002,ihealth_bpm
0.005499,ihealth_bpm
0.024756,ihealth_bpm
0.005499,ihealth_bpm
0.011004,ihealth_bpm
0.005498,ihealth_bpm
0.022006,ihealth_bpm
0.005499,ihealth_bpm
0.019253,ihealth_bpm
0.033003,ihealth_bpm
0.071509,ihealth_bpm
0.005502,ihealth_bpm
0.011001,ihealth_bpm
0.006021,ihealth_bpm
0.013324,ihealth_bpm
0.005474,ihealth_bpm
0.018513,ihealth_bpm
0.005471,ihealth_bpm
0.02473,ihealth_bpm
0.005525,ihealth_bpm
0.019263,ihealth_bpm
0.019161,ihealth_bpm
0.005493,ihealth_bpm
0.027505,ihealth_bpm
0.005501,ihealth_bpm
0.019255,ihealth_bpm
0.005499,ihealth_bpm
0.013753,ihealth_bpm
0.005499,ihealth_bpm
0.00825,ihealth_bpm
0.005503,ihealth_bpm
0.016502,ihealth_bpm
0.005499,ihealth_bpm
0.019252,ihealth_bpm
0.005502,ihealth_bpm
0.016502,ihealth_bpm
0.00275,ihealth_bpm
0.019254,ihealth_bpm
0.005537,ihealth_bpm
0.024717,ihealth_bpm
0.005501,ihealth_bpm
0.024753,ihealth_bpm
0.01653,ihealth_bpm
0.005509,ihealth_bpm
0.016466,ihealth_bpm
0.005501,ihealth_bpm
0.019253,ihealth_bpm
0.0055,ihealth_bpm
0.022004,ihealth_bpm
0.0055,ihealth_bpm
0.022005,ihealth_bpm
0.040538,ihealth_bpm
0.00547,ihealth_bpm
0.019249,ihealth_bpm
0.024752,ihealth_bpm
0.005502,ihealth_bpm
0.011008,ihealth_bpm
0.005496,ihealth_bpm
0.016501,ihealth_bpm
0.0055,ihealth_bpm
0.013798,ihealth_bpm
0.005455,ihealth_bpm
0.024753,ihealth_bpm
0.005501,ihealth_bpm
0.019288,ihealth_bpm
0.005465,ihealth_bpm
0.030254,ihealth_bpm
0.005501,ihealth_bpm
0.024755,ihealth_bpm
0.022037,ihealth_bpm
0.005468,ihealth_bpm
0.0165,ihealth_bpm
0.005501,ihealth_bpm
0.008267,ihealth_bpm
0.005485,ihealth_bpm
0.016502,ihealth_bpm
0.005499,ihealth_bpm
0.013761,ihealth_bpm
0.005493,ihealth_bpm
0.033006,ihealth_bpm
0.0055,ihealth_bpm
0.016502,ihealth_bpm
0.0055,ihealth_bpm
0.022012,ihealth_bpm
0.005493,ihealth_bpm
0.011004,ihealth_bpm
0.005498,ihealth_bpm
0.016503,ihealth_bpm
0.005501,ihealth_bpm
0.024788,ihealth_bpm
0.005651,ihealth_bpm
0.018332,ihealth_bpm
0.005485,ihealth_bpm
0.024791,ihealth_bpm
0.005466,ihealth_bpm
0.01925,ihealth_bpm
0.005502,ihealth_bpm
0.022002,ihealth_bpm
0.005502,ihealth_bpm
0.022002,ihealth_bpm
0.019252,ihealth_bpm
0.005501,ihealth_bpm
0.019253,ihealth_bpm
0.005502,ihealth_bpm
0.019252,ihealth_bpm
0.022003,ihealth_bpm
0.005537,ihealth_bpm
0.01925,ihealth_bpm
0.019219,ihealth_bpm
0.005508,ihealth_bpm
0.044035,ihealth_bpm
0.005465,ihealth_bpm
0.022001,ihealth_bpm
0.005502,ihealth_bpm
0.013752,ihealth_bpm
0.005502,ihealth_bpm
